Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
U3,Hall,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR-CW,386.21,17.3,180.0,top
U30,Hall,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR-CW,470.21,-66.71,180.0,top
U31,Hall,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR-CW,498.21,-66.71,180.0,top
U32,Hall,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR-CW,526.21,-66.71,180.0,top
U33,Hall,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR-CW,330.2,-94.71,180.0,top
U34,Hall,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR-CW,358.21,-94.71,180.0,top
U35,Hall,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR-CW,386.21,-94.71,180.0,top
U36,Hall,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR-CW,414.21,-94.71,180.0,top
U37,Hall,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR-CW,442.21,-94.71,180.0,top
U38,Hall,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR-CW,470.21,-94.71,180.0,top
U39,Hall,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR-CW,498.21,-94.71,180.0,top
U4,Hall,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR-CW,414.21,17.3,180.0,top
U40,Hall,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR-CW,526.21,-94.71,180.0,top
U41,Hall,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR-CW,330.2,-122.71,180.0,top
U42,Hall,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR-CW,358.21,-122.71,180.0,top
U43,Hall,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR-CW,386.21,-122.71,180.0,top
U44,Hall,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR-CW,414.21,-122.71,180.0,top
U45,Hall,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR-CW,442.21,-122.71,180.0,top
U46,Hall,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR-CW,470.21,-122.71,180.0,top
U47,Hall,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR-CW,498.21,-122.71,180.0,top
U48,Hall,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR-CW,526.21,-122.71,180.0,top
U49,Hall,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR-CW,330.2,-150.71,180.0,top
U5,Hall,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR-CW,442.21,17.3,180.0,top
U50,Hall,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR-CW,358.21,-150.71,180.0,top
U51,Hall,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR-CW,386.21,-150.71,180.0,top
U52,Hall,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR-CW,414.21,-150.71,180.0,top
U53,Hall,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR-CW,442.21,-150.71,180.0,top
U54,Hall,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR-CW,470.21,-150.71,180.0,top
U55,Hall,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR-CW,498.21,-150.71,180.0,top
U56,Hall,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR-CW,526.21,-150.71,180.0,top
U57,Hall,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR-CW,330.2,-178.71,180.0,top
U58,Hall,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR-CW,358.21,-178.71,180.0,top
U59,Hall,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR-CW,386.21,-178.71,180.0,top
U6,Hall,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR-CW,470.21,17.3,180.0,top
U60,Hall,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR-CW,414.21,-178.71,180.0,top
U61,Hall,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR-CW,442.21,-178.71,180.0,top
U62,Hall,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR-CW,470.21,-178.71,180.0,top
U63,Hall,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR-CW,498.21,-178.71,180.0,top
U64,Hall,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR-CW,526.21,-178.71,180.0,top
U65,Shift register,DIP-16_L20.0-W6.4-P2.54-LS7.6-BL,442.087,-1.651,180.0,bottom
U7,Hall,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR-CW,498.21,17.3,180.0,top
U8,Hall,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR-CW,526.21,17.3,180.0,top
U9,Hall,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR-CW,330.2,-10.71,180.0,top
